	a1	a2	a3	a4	a5	a6	a7	Label
147	34	49	48	5	58	85	8	0
148	43	4	48	5	58	75	78	0
149	46	61	48	5	48	86	87	0
150	27	35	48	5	51	77	79	0
151	52	39	48	5	65	71	73	0
152	29	47	48	5	71	65	69	0
153	55	47	48	5	57	78	8	0
154	12	67	48	5	74	58	63	0
155	4	5	48	5	65	82	84	0
156	73	36	48	5	53	91	92	0
157	84	44	48	5	48	71	74	0
158	48	45	48	5	6	78	8	0
159	54	49	48	5	4	87	88	0
160	48	41	48	5	51	9	88	0
161	5	66	48	5	31	92	92	0
162	72	46	48	5	51	66	7	0
163	47	55	48	5	58	71	75	0
164	33	56	48	5	33	78	8	0
165	64	58	48	5	48	78	73	0
166	54	57	48	5	56	81	83	0
167	47	59	48	5	52	76	79	0
168	63	5	48	5	59	85	86	0
169	49	42	48	5	53	79	81	0
170	31	5	48	5	57	84	85	0
171	74	44	48	5	55	88	89	0
172	33	45	48	5	45	88	89	0
173	45	4	48	5	61	74	77	0
174	71	4	48	5	71	7	74	0
175	5	37	48	5	66	64	69	0
176	66	53	48	5	59	66	66	0
177	6	61	48	5	54	67	71	0
178	83	37	48	5	61	71	74	0
179	34	51	48	5	67	9	9	0
180	63	54	48	5	65	79	81	0
181	7	4	48	5	56	86	83	0
182	6	5	1	5	54	77	8	0
183	16	51	48	5	33	39	48	0
184	74	7	48	5	66	65	69	0
185	2	46	48	5	57	78	81	0
186	89	55	48	5	51	72	76	0
187	7	46	48	5	56	78	73	0
188	12	43	48	5	63	7	74	0
189	61	52	48	5	54	67	52	0
190	33	37	48	5	46	65	69	0
191	63	65	48	5	66	67	71	0
192	41	51	48	5	53	75	78	0
193	34	67	48	5	52	76	79	0
194	58	34	48	5	56	87	81	0
195	59	56	48	5	55	8	82	0
